case_id,case_class,query,representation,artifact_source,support_mode,answer,gold_answer,verdict,witness,work,bound,provenance_units,gold_units,runtime_ms,note
audit_01,released,B8,a3,authored,no_provenance,unknown,[2],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_02,released,B1,a1,authored,native_exact,True,True,correct,[],2,unbounded,unknown,1,0.07,
audit_02,released,B2,a1,authored,native_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_02,released,B3,a1,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_02,released,B4,a1,authored,native_exact,True,True,correct,0,128,unbounded,unknown,1,0.06,
audit_02,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,0.07,consistent; no conflict
audit_02,released,B6,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,0.07,already feasible
audit_02,released,B8,a1,authored,native_exact,[0],[0],correct,unknown,1,unbounded,1,1,0.06,
audit_02,released,B1,a2c,coordinator,adapter_exact,True,True,correct,[],2,unbounded,unknown,1,0.07,
audit_02,released,B2,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_02,released,B3,a2c,coordinator,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_02,released,B4,a2c,coordinator,adapter_exact,True,True,correct,0,128,unbounded,unknown,1,0.06,
audit_02,released,B5,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,1,1,0.07,consistent; no conflict
audit_02,released,B6,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,1,1,0.06,already feasible
audit_02,released,B8,a2c,coordinator,adapter_exact,[0],[0],correct,unknown,1,unbounded,1,1,0.06,
audit_02,released,B1,a3,authored,bounded_only,True,True,correct,[],1,len<=6,unknown,1,0.01,
audit_02,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_02,released,B3,a3,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_02,released,B4,a3,authored,bounded_only,True,True,correct,0,1,moves<=8,unknown,1,0.0,
audit_02,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_02,released,B6,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_02,released,B8,a3,authored,no_provenance,unknown,[0],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_03,released,B1,a1,authored,native_exact,True,True,correct,"[A, B, C]",11,unbounded,unknown,1,9.72,
audit_03,released,B2,a1,authored,native_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_03,released,B3,a1,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_03,released,B4,a1,authored,native_exact,True,True,correct,12,704,unbounded,unknown,1,10.03,
audit_03,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,9.77,consistent; no conflict
audit_03,released,B6,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,10.0,already feasible
audit_03,released,B8,a1,authored,native_exact,[3],[3],correct,unknown,1,unbounded,1,1,9.82,
audit_03,released,B1,a2c,coordinator,adapter_exact,True,True,correct,"[A, B, C]",11,unbounded,unknown,1,9.67,
audit_03,released,B2,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_03,released,B3,a2c,coordinator,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_03,released,B4,a2c,coordinator,adapter_exact,True,True,correct,12,704,unbounded,unknown,1,9.95,
audit_03,released,B5,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,1,1,9.73,consistent; no conflict
audit_03,released,B6,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,1,1,9.96,already feasible
audit_03,released,B8,a2c,coordinator,adapter_exact,[3],[3],correct,unknown,1,unbounded,1,1,9.81,
audit_03,released,B1,a3,authored,bounded_only,True,True,correct,"[A, B, C]",95,len<=6,unknown,1,0.08,
audit_03,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_03,released,B3,a3,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_03,released,B4,a3,authored,bounded_only,unknown,True,inconclusive,unknown,488281,moves<=8,unknown,1,1811.02,
audit_03,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_03,released,B6,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_03,released,B8,a3,authored,no_provenance,unknown,[3],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_04,released,B1,a1,authored,native_exact,True,True,correct,"[A, B]",6,unbounded,unknown,2,3.03,
audit_04,released,B2,a1,authored,native_exact,[],[],correct,unknown,2,unbounded,2,2,4.93,
audit_04,released,B3,a1,authored,native_exact,"[[""r2:A"", ""fires""]]","[[""r2:A"", ""fires""]]",correct,unknown,1,unbounded,unknown,2,3.05,
audit_04,released,B4,a1,authored,native_exact,False,False,correct,unknown,384,unbounded,unknown,2,3.38,
audit_04,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,2,2,3.05,consistent; no conflict
audit_04,released,B6,a1,authored,native_exact,[0],[0],correct,unknown,2,depth<=2,2,2,5.79,
audit_04,released,B8,a1,authored,native_exact,"[1, 0]","[1, 0]",correct,unknown,2,unbounded,2,2,2.49,
audit_04,released,B1,a2c,authored,adapter_exact,True,True,correct,"[A, B]",6,unbounded,unknown,2,3.06,
audit_04,released,B2,a2c,authored,adapter_exact,[],[],correct,unknown,2,unbounded,2,2,4.88,
audit_04,released,B3,a2c,authored,adapter_exact,"[[""r2:A"", ""fires""]]","[[""r2:A"", ""fires""]]",correct,unknown,1,unbounded,unknown,2,3.09,
audit_04,released,B4,a2c,authored,adapter_exact,False,False,correct,unknown,384,unbounded,unknown,2,3.31,
audit_04,released,B5,a2c,authored,adapter_exact,[],[],correct,unknown,0,,2,2,3.04,consistent; no conflict
audit_04,released,B6,a2c,authored,adapter_exact,[0],[0],correct,unknown,2,depth<=2,2,2,5.84,
audit_04,released,B8,a2c,authored,adapter_exact,"[1, 0]","[1, 0]",correct,unknown,2,unbounded,2,2,2.48,
audit_04,released,B1,a3,authored,bounded_only,True,True,correct,"[A, B]",16,len<=6,unknown,2,0.03,
audit_04,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_04,released,B3,a3,authored,bounded_only,"[[""r2:A"", ""fires""]]","[[""r2:A"", ""fires""]]",correct,unknown,16,len<=6,unknown,2,0.02,
audit_04,released,B4,a3,authored,bounded_only,unknown,False,inconclusive,unknown,488281,moves<=8,unknown,2,1932.37,
audit_04,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_04,released,B6,a3,authored,no_provenance,unknown,[0],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_04,released,B8,a3,authored,no_provenance,unknown,"[1, 0]",n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_05,released,B1,a1,authored,native_exact,True,True,correct,"[A, B+C]",12,unbounded,unknown,2,11.5,
audit_05,released,B2,a1,authored,native_exact,[],[],correct,unknown,2,unbounded,2,2,16.54,
audit_05,released,B3,a1,authored,native_exact,"[[""r2:A"", ""fires""]]","[[""r2:A"", ""fires""]]",correct,unknown,1,unbounded,unknown,2,11.69,
audit_05,released,B4,a1,authored,native_exact,False,False,correct,unknown,768,unbounded,unknown,2,11.82,
audit_05,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,2,2,11.51,consistent; no conflict
audit_05,released,B6,a1,authored,native_exact,[0],[0],correct,unknown,2,depth<=2,2,2,22.51,
audit_05,released,B8,a1,authored,native_exact,"[1, 0]","[1, 0]",correct,unknown,2,unbounded,2,2,10.74,
audit_05,released,B1,a2c,coordinator,adapter_exact,True,True,correct,"[A, B+C]",12,unbounded,unknown,2,11.61,
audit_05,released,B2,a2c,coordinator,adapter_exact,[],[],correct,unknown,2,unbounded,2,2,16.79,
audit_05,released,B3,a2c,coordinator,adapter_exact,"[[""r2:A"", ""fires""]]","[[""r2:A"", ""fires""]]",correct,unknown,1,unbounded,unknown,2,11.59,
audit_05,released,B4,a2c,coordinator,adapter_exact,False,False,correct,unknown,768,unbounded,unknown,2,11.78,
audit_05,released,B5,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,2,2,11.45,consistent; no conflict
audit_05,released,B6,a2c,coordinator,adapter_exact,[0],[0],correct,unknown,2,depth<=2,2,2,22.48,
audit_05,released,B8,a2c,coordinator,adapter_exact,"[1, 0]","[1, 0]",correct,unknown,2,unbounded,2,2,10.69,
audit_05,released,B1,a3,authored,bounded_only,True,True,correct,"[A, B, C]",95,len<=6,unknown,2,0.11,
audit_05,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_05,released,B3,a3,authored,bounded_only,"[[""r2:A"", ""fires""]]","[[""r2:A"", ""fires""]]",correct,unknown,95,len<=6,unknown,2,0.08,
audit_05,released,B4,a3,authored,bounded_only,unknown,False,inconclusive,unknown,488281,moves<=8,unknown,2,1907.23,
audit_05,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_05,released,B6,a3,authored,no_provenance,unknown,[0],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_05,released,B8,a3,authored,no_provenance,unknown,"[1, 0]",n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_06,released,B1,a1,authored,native_exact,True,True,correct,"[A, C]",5,unbounded,unknown,1,1.89,
audit_06,released,B2,a1,authored,native_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_06,released,B3,a1,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_06,released,B4,a1,authored,native_exact,True,True,correct,12,320,unbounded,unknown,1,2.06,
audit_06,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,1.93,consistent; no conflict
audit_06,released,B6,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,2.11,already feasible
audit_06,released,B8,a1,authored,native_exact,[2],[2],correct,unknown,1,unbounded,1,1,1.9,
audit_06,released,B1,a2c,coordinator,adapter_exact,True,True,correct,"[A, C]",5,unbounded,unknown,1,2.74,
audit_06,released,B2,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_06,released,B3,a2c,coordinator,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_06,released,B4,a2c,coordinator,adapter_exact,True,True,correct,12,320,unbounded,unknown,1,2.96,
audit_06,released,B5,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,1,1,2.74,consistent; no conflict
audit_06,released,B6,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,1,1,2.87,already feasible
audit_06,released,B8,a2c,coordinator,adapter_exact,[2],[2],correct,unknown,1,unbounded,1,1,2.8,
audit_06,released,B1,a3,authored,bounded_only,True,True,correct,"[A, C]",17,len<=6,unknown,1,0.03,
audit_06,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_06,released,B3,a3,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_06,released,B4,a3,authored,bounded_only,unknown,True,inconclusive,unknown,488281,moves<=8,unknown,1,1869.05,
audit_06,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_06,released,B6,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_06,released,B8,a3,authored,no_provenance,unknown,[2],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_07,released,B1,a1,authored,native_exact,True,True,correct,[],3,unbounded,unknown,1,0.59,
audit_07,released,B2,a1,authored,native_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_07,released,B3,a1,authored,native_exact,"[[""r1:A"", ""fires""]]","[[""r1:A"", ""fires""]]",correct,unknown,1,unbounded,unknown,1,0.99,
audit_07,released,B4,a1,authored,native_exact,True,True,correct,0,192,unbounded,unknown,1,0.56,
audit_07,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,0.55,consistent; no conflict
audit_07,released,B6,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,0.54,already feasible
audit_07,released,B8,a1,authored,native_exact,[0],[0],correct,unknown,1,unbounded,1,1,0.54,
audit_07,released,B1,a2c,authored,adapter_exact,True,True,correct,[],3,unbounded,unknown,1,0.54,
audit_07,released,B2,a2c,authored,adapter_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_07,released,B3,a2c,authored,adapter_exact,"[[""r1:A"", ""fires""]]","[[""r1:A"", ""fires""]]",correct,unknown,1,unbounded,unknown,1,0.93,
audit_07,released,B4,a2c,authored,adapter_exact,True,True,correct,0,192,unbounded,unknown,1,0.54,
audit_07,released,B5,a2c,authored,adapter_exact,[],[],correct,unknown,0,,1,1,0.56,consistent; no conflict
audit_07,released,B6,a2c,authored,adapter_exact,[],[],correct,unknown,0,,1,1,0.54,already feasible
audit_07,released,B8,a2c,authored,adapter_exact,[0],[0],correct,unknown,1,unbounded,1,1,0.54,
audit_07,released,B1,a3,authored,bounded_only,True,True,correct,[],1,len<=6,unknown,1,0.01,
audit_07,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_07,released,B3,a3,authored,bounded_only,"[[""r1:A"", ""fires""]]","[[""r1:A"", ""fires""]]",correct,unknown,16,len<=6,unknown,1,0.02,
audit_07,released,B4,a3,authored,bounded_only,True,True,correct,0,1,moves<=8,unknown,1,0.0,
audit_07,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_07,released,B6,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_07,released,B8,a3,authored,no_provenance,unknown,[0],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_08,released,B1,a1,authored,native_exact,True,True,correct,[C],3,unbounded,unknown,1,0.1,
audit_08,released,B2,a1,authored,native_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_08,released,B3,a1,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_08,released,B4,a1,authored,native_exact,False,False,correct,unknown,192,unbounded,unknown,1,0.26,
audit_08,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,1,1,0.1,consistent; no conflict
audit_08,released,B6,a1,authored,native_exact,unknown,unknown,correct,unknown,1,depth<=2,1,1,0.32,no repair within depth
audit_08,released,B8,a1,authored,native_exact,[1],[1],correct,unknown,1,unbounded,1,1,0.1,
audit_08,released,B1,a2c,coordinator,adapter_exact,True,True,correct,[C],3,unbounded,unknown,1,0.1,
audit_08,released,B2,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,unbounded,1,1,0.0,
audit_08,released,B3,a2c,coordinator,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_08,released,B4,a2c,coordinator,adapter_exact,False,False,correct,unknown,192,unbounded,unknown,1,0.27,
audit_08,released,B5,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,1,1,0.1,consistent; no conflict
audit_08,released,B6,a2c,coordinator,adapter_exact,unknown,unknown,correct,unknown,1,depth<=2,1,1,0.27,no repair within depth
audit_08,released,B8,a2c,coordinator,adapter_exact,[1],[1],correct,unknown,1,unbounded,1,1,0.1,
audit_08,released,B1,a3,authored,bounded_only,True,True,correct,[C],5,len<=6,unknown,1,0.01,
audit_08,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_08,released,B3,a3,authored,not_applicable,[],[],n/a,unknown,0,,unknown,1,0.0,task has no triggered rule
audit_08,released,B4,a3,authored,bounded_only,unknown,False,inconclusive,unknown,488281,moves<=8,unknown,1,1782.72,
audit_08,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_08,released,B6,a3,authored,no_provenance,unknown,unknown,n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_08,released,B8,a3,authored,no_provenance,unknown,[1],n/a,unknown,0,,unknown,1,0.0,artifact exposes no requirement units
audit_09,released,B1,a1,authored,native_exact,True,True,correct,"[A, B+C]",12,unbounded,unknown,2,13.58,
audit_09,released,B2,a1,authored,native_exact,[],[],correct,unknown,2,unbounded,2,2,18.55,
audit_09,released,B3,a1,authored,native_exact,"[[""r2:A"", ""fires""]]","[[""r2:A"", ""fires""]]",correct,unknown,1,unbounded,unknown,2,13.6,
audit_09,released,B4,a1,authored,native_exact,False,False,correct,unknown,768,unbounded,unknown,2,13.69,
audit_09,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,2,2,13.58,consistent; no conflict
audit_09,released,B6,a1,authored,native_exact,[0],[0],correct,unknown,2,depth<=2,2,2,26.45,
audit_09,released,B8,a1,authored,native_exact,"[1, 0]","[1, 0]",correct,unknown,2,unbounded,2,2,12.67,
audit_09,released,B1,a2c,coordinator,adapter_exact,True,True,correct,"[A, B+C]",12,unbounded,unknown,2,13.44,
audit_09,released,B2,a2c,coordinator,adapter_exact,[],[],correct,unknown,2,unbounded,2,2,18.72,
audit_09,released,B3,a2c,coordinator,adapter_exact,"[[""r2:A"", ""fires""]]","[[""r2:A"", ""fires""]]",correct,unknown,1,unbounded,unknown,2,13.55,
audit_09,released,B4,a2c,coordinator,adapter_exact,False,False,correct,unknown,768,unbounded,unknown,2,13.79,
audit_09,released,B5,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,2,2,13.75,consistent; no conflict
audit_09,released,B6,a2c,coordinator,adapter_exact,[0],[0],correct,unknown,2,depth<=2,2,2,26.5,
audit_09,released,B8,a2c,coordinator,adapter_exact,"[1, 0]","[1, 0]",correct,unknown,2,unbounded,2,2,12.52,
audit_09,released,B1,a3,authored,bounded_only,True,True,correct,"[A, B, C]",95,len<=6,unknown,2,0.11,
audit_09,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_09,released,B3,a3,authored,bounded_only,"[[""r2:A"", ""fires""]]","[[""r2:A"", ""fires""]]",correct,unknown,95,len<=6,unknown,2,0.08,
audit_09,released,B4,a3,authored,bounded_only,unknown,False,inconclusive,unknown,488281,moves<=8,unknown,2,1907.47,
audit_09,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_09,released,B6,a3,authored,no_provenance,unknown,[0],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_09,released,B8,a3,authored,no_provenance,unknown,"[1, 0]",n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_10,released,B1,a1,authored,native_exact,True,True,correct,"[A, B, C]",22,unbounded,unknown,2,21.6,
audit_10,released,B2,a1,authored,native_exact,[],[],correct,unknown,2,unbounded,2,2,51.57,
audit_10,released,B3,a1,authored,not_applicable,[],[],n/a,unknown,0,,unknown,2,0.0,task has no triggered rule
audit_10,released,B4,a1,authored,native_exact,False,False,correct,unknown,1408,unbounded,unknown,2,22.35,
audit_10,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,2,2,22.13,consistent; no conflict
audit_10,released,B6,a1,authored,native_exact,[1],[1],correct,unknown,3,depth<=2,2,2,32.28,
audit_10,released,B8,a1,authored,native_exact,"[3, 1]","[3, 1]",correct,unknown,2,unbounded,2,2,10.21,
audit_10,released,B1,a2c,authored,adapter_exact,True,True,correct,"[A, B, C]",22,unbounded,unknown,2,22.7,
audit_10,released,B2,a2c,authored,adapter_exact,[],[],correct,unknown,2,unbounded,2,2,52.28,
audit_10,released,B3,a2c,authored,not_applicable,[],[],n/a,unknown,0,,unknown,2,0.0,task has no triggered rule
audit_10,released,B4,a2c,authored,adapter_exact,False,False,correct,unknown,1408,unbounded,unknown,2,21.96,
audit_10,released,B5,a2c,authored,adapter_exact,[],[],correct,unknown,0,,2,2,21.79,consistent; no conflict
audit_10,released,B6,a2c,authored,adapter_exact,[1],[1],correct,unknown,3,depth<=2,2,2,32.08,
audit_10,released,B8,a2c,authored,adapter_exact,"[3, 1]","[3, 1]",correct,unknown,2,unbounded,2,2,9.99,
audit_10,released,B1,a3,coordinator,bounded_only,True,True,correct,"[A, B, C]",95,len<=6,unknown,2,0.13,
audit_10,released,B2,a3,coordinator,no_provenance,unknown,[],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_10,released,B3,a3,coordinator,not_applicable,[],[],n/a,unknown,0,,unknown,2,0.0,task has no triggered rule
audit_10,released,B4,a3,coordinator,bounded_only,unknown,False,inconclusive,unknown,488281,moves<=8,unknown,2,1877.07,
audit_10,released,B5,a3,coordinator,no_provenance,unknown,[],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_10,released,B6,a3,coordinator,no_provenance,unknown,[1],n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_10,released,B8,a3,coordinator,no_provenance,unknown,"[3, 1]",n/a,unknown,0,,unknown,2,0.0,artifact exposes no requirement units
audit_11,released,B1,a1,authored,native_exact,True,True,correct,"[A, B+C+D]",23,unbounded,unknown,3,29.91,
audit_11,released,B2,a1,authored,native_exact,[],[],correct,unknown,3,unbounded,3,3,89.32,
audit_11,released,B3,a1,authored,native_exact,"[[""r2:A"", ""fires""], [""r3:C"", ""fires""]]","[[""r2:A"", ""fires""], [""r3:C"", ""fires""]]",correct,unknown,2,unbounded,unknown,3,62.08,
audit_11,released,B4,a1,authored,native_exact,False,False,correct,unknown,1472,unbounded,unknown,3,30.59,
audit_11,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,3,3,30.69,consistent; no conflict
audit_11,released,B6,a1,authored,native_exact,[0],[0],correct,unknown,2,depth<=2,3,3,58.46,
audit_11,released,B8,a1,authored,native_exact,"[1, 0, 0]","[1, 0, 0]",correct,unknown,3,unbounded,3,3,11.63,
audit_11,released,B1,a2c,coordinator,adapter_exact,True,True,correct,"[A, B+C+D]",23,unbounded,unknown,3,30.9,
audit_11,released,B2,a2c,coordinator,adapter_exact,[],[],correct,unknown,3,unbounded,3,3,90.0,
audit_11,released,B3,a2c,coordinator,adapter_exact,"[[""r2:A"", ""fires""], [""r3:C"", ""fires""]]","[[""r2:A"", ""fires""], [""r3:C"", ""fires""]]",correct,unknown,2,unbounded,unknown,3,61.64,
audit_11,released,B4,a2c,coordinator,adapter_exact,False,False,correct,unknown,1472,unbounded,unknown,3,30.85,
audit_11,released,B5,a2c,coordinator,adapter_exact,[],[],correct,unknown,0,,3,3,30.86,consistent; no conflict
audit_11,released,B6,a2c,coordinator,adapter_exact,[0],[0],correct,unknown,2,depth<=2,3,3,59.37,
audit_11,released,B8,a2c,coordinator,adapter_exact,"[1, 0, 0]","[1, 0, 0]",correct,unknown,3,unbounded,3,3,11.41,
audit_11,released,B1,a3,authored,bounded_only,True,True,correct,"[A, B, C, D]",570,len<=6,unknown,3,0.65,
audit_11,released,B2,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,3,0.0,artifact exposes no requirement units
audit_11,released,B3,a3,authored,bounded_only,"[[""r2:A"", ""fires""], [""r3:C"", ""fires""]]","[[""r2:A"", ""fires""], [""r3:C"", ""fires""]]",correct,unknown,1140,len<=6,unknown,3,1.04,
audit_11,released,B4,a3,authored,bounded_only,unknown,False,inconclusive,unknown,488281,moves<=8,unknown,3,1932.72,
audit_11,released,B5,a3,authored,no_provenance,unknown,[],n/a,unknown,0,,unknown,3,0.0,artifact exposes no requirement units
audit_11,released,B6,a3,authored,no_provenance,unknown,[0],n/a,unknown,0,,unknown,3,0.0,artifact exposes no requirement units
audit_11,released,B8,a3,authored,no_provenance,unknown,"[1, 0, 0]",n/a,unknown,0,,unknown,3,0.0,artifact exposes no requirement units
audit_12,released,B1,a1,authored,native_exact,True,True,correct,[],17,unbounded,unknown,2,22.07,
audit_12,released,B2,a1,authored,native_exact,[],[],correct,unknown,2,unbounded,2,2,65.5,
audit_12,released,B3,a1,authored,native_exact,"[[""r1:A"", ""fires""], [""r2:B"", ""fires""]]","[[""r1:A"", ""fires""], [""r2:B"", ""fires""]]",correct,unknown,2,unbounded,unknown,2,57.89,
audit_12,released,B4,a1,authored,native_exact,True,True,correct,0,1088,unbounded,unknown,2,22.07,
audit_12,released,B5,a1,authored,native_exact,[],[],correct,unknown,0,,2,2,21.96,consistent; no conflict
audit_12,released,B6,a1,authored,native_exact,[],[],correct,unknown,0,,2,2,22.13,already feasible
audit_12,released,B8,a1,authored,native_exact,"[0, 0]","[0, 0]",correct,unknown,2,unbounded,2,2,9.17,
audit_12,released,B1,a2c,coordinator,adapter_exact,True,True,correct,[],17,unbounded,unknown,2,22.08,
audit_12,released,B2,a2c,coordinator,adapter_exact,[],[],correct,unknown,2,unbounded,2,2,64.62,
